List of African countries by population,,,,,,,,,
,,,,,,,,,
"From Wikipedia, the free encyclopedia",,,,,,,,,
"Jump to: navigation, search",,,,,,,,,
,,,,,,,,,
"This is a list of African countries and dependent territories sorted by population, which is sorted by the 2015 mid-year normalized demographic projections.",,,,,,,,,
,,,,,,,,,
Table[edit],,,,,,,,,
,,,,,,,,,
Rank,Country,1-Jul-15, % of,Average,Average,Estimated,Official,Date of,Source
List of Middle East countries by population,,,,,,,,,
List of North American countries by population,,,,,,,,,
List of Oceanian countries by population,,,,,,,,,
List of South American countries by population,,,,,,,,,
List of countries by past and future population,,,,,,,,,
List of countries by past population (United Nations),,,,,,,,,
List of countries by population in 2000,,,,,,,,,
List of countries by population in 2010,,,,,,,,,
,,,,,,,,,
v,,,,,,,,,
t,,,,,,,,,
e,,,,,,,,,
,,,,,,,,,
Lists of countries by population statistics,,,,,,,,,
World population,Current population,,,,,,,,
,Current population (United Nations),,,,,,,,
,,,,,,,,,
Continental,Asia,,,,,,,,
,Africa,,,,,,,,
,Europe,,,,,,,,
,North America,,,,,,,,
,Oceania,,,,,,,,
,South America,,,,,,,,
,,,,,,,,,
Regional,Americas,,,,,,,,
,Arab world,,,,,,,,
,Caribbean,,,,,,,,
,Commonwealth of Nations,,,,,,,,
,Eurasia,,,,,,,,
,European Union,,,,,,,,
,Islands,,,,,,,,
,Latin America,,,,,,,,
,Middle East,,,,,,,,
,,,,,,,,,
Cities,National capitals,,,,,,,,
,Cities proper,,,,,,,,
,Metropolitan areas,,,,,,,,
,Urban areas,,,,,,,,
,Megacities,,,,,,,,
,Megalopolises,,,,,,,,
,,,,,,,,,
Past and future,Past population (United Nations),,,,,,,,
population,Past and future population,,,,,,,,
,1000,,,,,,,,
,1500,,,,,,,,
,1600,,,,,,,,
,1700,,,,,,,,
,1800,,,,,,,,
,1900,,,,,,,,
,1907,,,,,,,,
,1939,,,,,,,,
,1989,,,,,,,,
,2000,,,,,,,,
,2005,,,,,,,,
,2010,,,,,,,,
,Future population,,,,,,,,
,,,,,,,,,
Population density,Current density,,,,,,,,
,Current real density based on food growing capacity,,,,,,,,
,,,,,,,,,
Growth indicators,Population growth rate,,,,,,,,
,Natural increase,,,,,,,,
,Birth rate,,,,,,,,
,Mortality rate,,,,,,,,
,Fertility rate,,,,,,,,
,,,,,,,,,
Other,Age at first marriage,,,,,,,,
demographics,Divorce rate,,,,,,,,
,Domestic citizens,,,,,,,,
,Ethnic and cultural diversity level,,,,,,,,
,Foreign-born population,,,,,,,,
,Immigrant population,,,,,,,,
,Median age,,,,,,,,
,Net migration rate,,,,,,,,
,Number of households,,,,,,,,
,Sex ratio,,,,,,,,
,Urban population,,,,,,,,
,Urbanization,,,,,,,,
,,,,,,,,,
Health,Antiviral medications for pandemic influenza,,,,,,,,
,HIV/AIDS adult prevalence rate,,,,,,,,
,Infant mortality rate,,,,,,,,
,Life expectancy,,,,,,,,
,Percentage suffering from undernourishment,,,,,,,,
,Health expenditure covered by government,,,,,,,,
,Suicide rate,,,,,,,,
,Total health expenditure (PPP) per capita,,,,,,,,
,Body Mass Index (BMI),,,,,,,,
,,,,,,,,,
Education,Bloomberg Innovation Index,,,,,,,,
and innovation,Education Index,,,,,,,,
,International Innovation Index,,,,,,,,
,Innovation Union Scoreboard,,,,,,,,
,Literacy rate,,,,,,,,
,Programme for the International Assessment of Adult Competencies,,,,,,,,
,Progress in International Reading Literacy Study,,,,,,,,
,Student skills,,,,,,,,
,Tertiary education attainment,,,,,,,,
,Trends in International Mathematics and Science Study,,,,,,,,
,Women's average years in school,,,,,,,,
,World Intellectual Property Indicators,,,,,,,,
,,,,,,,,,
Economic,Development aid given,,,,,,,,
,Official Development Assistance received,,,,,,,,
,Employment rate,,,,,,,,
,Irrigated land area,,,,,,,,
,Human Development Index,,,,,,,,
,by country,,,,,,,,
,inequality-adjusted,,,,,,,,
,Human Poverty Index,,,,,,,,
,Imports,,,,,,,,
,Income equality,,,,,,,,
,Job security,,,,,,,,
,Labour force,,,,,,,,
,Number of millionaires (US dollars),,,,,,,,
,Number of billionaires (US dollars),,,,,,,,
,Percentage living in poverty,,,,,,,,
,Public sector,,,,,,,,
,Sen social welfare function,,,,,,,,
,Unemployment rate,,,,,,,,
,,,,,,,,,
List of international rankings,,,,,,,,,
List of top international rankings by country,,,,,,,,,
Lists by country,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes[edit],,,,,,,,,
,,,,,,,,,
"1. ^ Calculated, when available, from the latest national censuses or most recent official estimates (many of which are cited in their respective column), using the exponential formula shown on the List of countries by past and future population article. This is done to normalize the different populations to a unique date, so that they are really comparable.",,,,,,,,,
2. ^ It corresponds to the following formula: projection2015/projection2014x100-100.,,,,,,,,,
3. ^ It corresponds to the calculation: projection2015*annual_growth/100.,,,,,,,,,
"4. ^ It corresponds to the formula: LN(2)/LN(growth/100+1), which produces exactly the same result as LOG10(2)/LOG10(growth/100+1).",,,,,,,,,
"5. ^ It excludes the population of the disputed territory of the Western Sahara (the so-called Sahrawi Arab Democratic Republic. If it was included, the Moroccan September 2014 census would result in 33,848,242 inhabitants and its mid-2015 demographic projection would give some 34,198,000 inhab.",,,,,,,,,
"6. ^ Administration is split between Morocco and the Sahrawi Arab Democratic Republic, both of which claim the entire territory.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Retrieved from ""https://en.wikipedia.org/w/index.php?title=List_of_African_countries_by_population&oldid=796839789""",,,,,,,,,
Categories:,,,,,,,,,
,,,,,,,,,
Africa-related lists,,,,,,,,,
Countries in Africa,,,,,,,,,
Demographics of Africa,,,,,,,,,
Lists of countries by continent,,,,,,,,,
Lists of countries by population,,,,,,,,,
"Lists of countries by continent, by population",,,,,,,,,
,,,,,,,,,
Navigation menu,,,,,,,,,
,,,,,,,,,
Personal tools,,,,,,,,,
,,,,,,,,,
Not logged in,,,,,,,,,
Talk,,,,,,,,,
Contributions,,,,,,,,,
Create account,,,,,,,,,
Log in,,,,,,,,,
,,,,,,,,,
Namespaces,,,,,,,,,
,,,,,,,,,
Article,,,,,,,,,
Talk,,,,,,,,,
,,,,,,,,,
Variants,,,,,,,,,
,,,,,,,,,
Views,,,,,,,,,
,,,,,,,,,
Read,,,,,,,,,
Edit,,,,,,,,,
View history,,,,,,,,,
,,,,,,,,,
More,,,,,,,,,
,,,,,,,,,
Search,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Navigation,,,,,,,,,
,,,,,,,,,
Main page,,,,,,,,,
Contents,,,,,,,,,
Featured content,,,,,,,,,
Current events,,,,,,,,,
Random article,,,,,,,,,
Donate to Wikipedia,,,,,,,,,
Wikipedia store,,,,,,,,,
,,,,,,,,,
Interaction,,,,,,,,,
,,,,,,,,,
Help,,,,,,,,,
About Wikipedia,,,,,,,,,
Community portal,,,,,,,,,
Recent changes,,,,,,,,,
Contact page,,,,,,,,,
,,,,,,,,,
Tools,,,,,,,,,
,,,,,,,,,
What links here,,,,,,,,,
Related changes,,,,,,,,,
Upload file,,,,,,,,,
Special pages,,,,,,,,,
Permanent link,,,,,,,,,
Page information,,,,,,,,,
Wikidata item,,,,,,,,,
Cite this page,,,,,,,,,
,,,,,,,,,
Print/export,,,,,,,,,
,,,,,,,,,
Create a book,,,,,,,,,
Download as PDF,,,,,,,,,
Printable version,,,,,,,,,
,,,,,,,,,
Languages,,,,,,,,,
,,,,,,,,,
Galego,,,,,,,,,
??????,,,,,,,,,
???????,,,,,,,,,
Latviešu,,,,,,,,,
??????,,,,,,,,,
Português,,,,,,,,,
???????,,,,,,,,,
Türkçe,,,,,,,,,
????,,,,,,,,,
??,,,,,,,,,
,,,,,,,,,
Edit links,,,,,,,,,
,,,,,,,,,
"This page was last edited on 23 August 2017, at 10:33.",,,,,,,,,
"Text is available under the Creative Commons Attribution-ShareAlike License; additional terms may apply. By using this site, you agree to the Terms of Use and Privacy Policy. Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization.",,,,,,,,,
,,,,,,,,,
Privacy policy,,,,,,,,,
About Wikipedia,,,,,,,,,
Disclaimers,,,,,,,,,
Contact Wikipedia,,,,,,,,,
Developers,,,,,,,,,
Cookie statement,,,,,,,,,
Mobile view,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
